RunNumber,AlignRunNumber,Date,GearFile,BeamEnergy,dut_chip,dut_board,dut_gain,dut_gain_type,ref_chip,ref_board,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot
# Warning: no blank before dut_gain,,ref_gain
# Warning: don't start with tilt = 0 or turn = 0 oe rot = 0: MillePede won't work (sin(0) = 0)
# Warning: don't start with pos_z = 0: GBL crash when planes overlap
# 2015 beams:

# DESY
14323,14323,2015-01,gear_desy2015_01_datura.xml,5.5999999,500,DTB_WS6K9F,gainweib.dat,desy_weibull,404,DTB_WS6C22,gainweib.dat,desy_weibull,-1.93393307,0.124137505,70.2050969,0,0,-0.0041186001,-1,-0.100000001,40,0

##################
### CiS Sensor ###
##################

#16010,16010,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.87104302,-0.40559985,42.8078156,0,0,-0.0095908354,-3.2409699,-1.0596,40,0
#16010,16010,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86587327,-0.402366962,42.8192286,0,0,-0.0096173573,-3.2409699,-1.0596,40,0
16010,16010,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86585014,-0.402361913,42.8251901,0,0,-0.0096177298,-3.2409699,-1.0596,40,0

16011,16011,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86585014,-0.402361913,42.8251901,0,0,-0.0096177298,-3.2409699,-1.0596,40,0
16012,16012,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86585014,-0.402361913,42.8251901,0,0,-0.0096177298,-3.2409699,-1.0596,40,0
16013,16013,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86585014,-0.402361913,42.8251901,0,0,-0.0096177298,-3.2409699,-1.0596,40,0
16014,16014,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86585014,-0.402361913,42.8251901,0,0,-0.0096177298,-3.2409699,-1.0596,40,0
16015,16015,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86585014,-0.402361913,42.8251901,0,0,-0.0096177298,-3.2409699,-1.0596,40,0
16016,16016,2015-04,gear_kit_16010.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86585014,-0.402361913,42.8251901,0,0,-0.0096177298,-3.2409699,-1.0596,40,0

###

#################
### Sample 26 ###
#################

### 40 V ###

#16030,16030,2015-04,gear_kit_16030.xml,5.5999999,325,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.86585014,-0.402361913,42.8251901,0,0,-0.0096177298,-3.2409699,-1.0596,40,0
#16030,16030,2015-04,gear_kit_16030.xml,5.5999999,326,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.78288821,-0.3233319,42.7862465,0,0,-0.01116743,-3.2409699,-1.0596,40,0
#16030,16030,2015-04,gear_kit_16030.xml,5.5999999,326,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.51850817,-0.0538118925,42.0847573,0,0,-0.0085242303,-3.2409699,-1.0596,40,0
#16030,16030,2015-04,gear_kit_16030.xml,5.5999999,326,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.4714582,-0.0335578929,43.0172688,0,0,-0.0047445307,-3.2409699,-1.0596,40,0
#16030,16030,2015-04,gear_kit_16030.xml,5.5999999,326,DTB_WS6K9F,phCalibrationFitErr35_C0.dat,psi_erf,404,DTB_WS6C22,gainweib.dat,desy_weibull,-2.47132097,-0.0335154408,43.0307921,0,0,-0.0047319227,-3.2409699,-1.0596,40,0
